bz_nr,bz_name
101,Bezirk Affoltern
102,Bezirk Andelfingen
103,Bezirk Bülach
104,Bezirk Dielsdorf
105,Bezirk Hinwil
106,Bezirk Horgen
107,Bezirk Meilen
108,Bezirk Pfäffikon
109,Bezirk Uster
110,Bezirk Winterthur
111,Bezirk Dietikon
112,Bezirk Zürich
241,Arrondissement administratif Jura bernois
242,Verwaltungskreis Biel/Bienne
243,Verwaltungskreis Seeland
244,Verwaltungskreis Oberaargau
245,Verwaltungskreis Emmental
246,Verwaltungskreis Bern-Mittelland
247,Verwaltungskreis Thun
248,Verwaltungskreis Obersimmental-Saanen
249,Verwaltungskreis Frutigen-Niedersimmental
250,Verwaltungskreis Interlaken-Oberhasli
311,Wahlkreis Luzern-Stadt
312,Wahlkreis Luzern-Land
313,Wahlkreis Hochdorf
314,Wahlkreis Sursee
315,Wahlkreis Willisau
316,Wahlkreis Entlebuch
400,Kanton Uri
501,Bezirk Einsiedeln
502,Bezirk Gersau
503,Bezirk Höfe
504,Bezirk Küssnacht (SZ)
505,Bezirk March
506,Bezirk Schwyz
600,Kanton Obwalden
700,Kanton Nidwalden
800,Kanton Glarus
900,Kanton Zug
1001,District de la Broye
1002,District de la Glâne
1003,District de la Gruyère
1004,District de la Sarine
1005,Bezirk See / District du Lac
1006,Bezirk Sense
1007,District de la Veveyse
1101,Bezirk Gäu
1102,Bezirk Thal
1103,Bezirk Bucheggberg
1104,Bezirk Dorneck
1105,Bezirk Gösgen
1106,Bezirk Wasseramt
1107,Bezirk Lebern
1108,Bezirk Olten
1109,Bezirk Solothurn
1110,Bezirk Thierstein
1200,Kanton Basel-Stadt
1301,Bezirk Arlesheim
1302,Bezirk Laufen
1303,Bezirk Liestal
1304,Bezirk Sissach
1305,Bezirk Waldenburg
1401,Bezirk Oberklettgau
1402,Bezirk Reiat
1403,Bezirk Schaffhausen
1404,Bezirk Schleitheim
1405,Bezirk Stein
1406,Bezirk Unterklettgau
1501,Bezirk Hinterland
1502,Bezirk Mittelland
1503,Bezirk Vorderland
1600,Kanton Appenzell Innerrhoden
1721,Wahlkreis St. Gallen
1722,Wahlkreis Rorschach
1723,Wahlkreis Rheintal
1724,Wahlkreis Werdenberg
1725,Wahlkreis Sarganserland
1726,Wahlkreis See-Gaster
1727,Wahlkreis Toggenburg
1728,Wahlkreis Wil
1841,Region Albula
1842,Region Bernina
1843,Region Engiadina Bassa / Val Müstair
1844,Region Imboden
1845,Region Landquart
1846,Region Maloja
1847,Region Moesa
1848,Region Plessur
1849,Region Prättigau / Davos
1850,Region Surselva
1851,Region Viamala
1901,Bezirk Aarau
1902,Bezirk Baden
1903,Bezirk Bremgarten
1904,Bezirk Brugg
1905,Bezirk Kulm
1906,Bezirk Laufenburg
1907,Bezirk Lenzburg
1908,Bezirk Muri
1909,Bezirk Rheinfelden
1910,Bezirk Zofingen
1911,Bezirk Zurzach
2011,Bezirk Arbon
2012,Bezirk Frauenfeld
2013,Bezirk Kreuzlingen
2014,Bezirk Münchwilen
2015,Bezirk Weinfelden
2101,Distretto di Bellinzona
2102,Distretto di Blenio
2103,Distretto di Leventina
2104,Distretto di Locarno
2105,Distretto di Lugano
2106,Distretto di Mendrisio
2107,Distretto di Riviera
2108,Distretto di Vallemaggia
2221,District d'Aigle
2222,District de la Broye-Vully
2223,District du Gros-de-Vaud
2224,District du Jura-Nord vaudois
2225,District de Lausanne
2226,District de Lavaux-Oron
2227,District de Morges
2228,District de Nyon
2229,District de l'Ouest lausannois
2230,District de la Riviera-Pays-d'Enhaut
2301,Bezirk Brig
2302,District de Conthey
2303,District d'Entremont
2304,Bezirk Goms
2305,District d'Hérens
2306,Bezirk Leuk
2307,District de Martigny
2308,District de Monthey
2309,Bezirk Raron
2310,District de Saint-Maurice
2311,District de Sierre
2312,District de Sion
2313,Bezirk Visp
2400,Canton de Neuchâtel
2500,Canton de Genève
2601,District de Delémont
2602,District des Franches-Montagnes
2603,District de Porrentruy
,
,
,
,
,
